Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1240.000000	3.91672   	1240.000000	3.95125   	1240.000000	4.08002   	1240.000000	3.89466   	1240.000000	3.95074   	1240.000000	0.000507375	
1260.000000	3.90774   	1260.000000	3.94239   	1260.000000	4.06987   	1260.000000	3.88471   	1260.000000	3.94189   	1260.000000	0.000499945	
1280.000000	3.8993    	1280.000000	3.93402   	1280.000000	4.06016   	1280.000000	3.87519   	1280.000000	3.93353   	1280.000000	0.000492737	
1300.000000	3.89136   	1300.000000	3.92612   	1300.000000	4.05087   	1300.000000	3.86609   	1300.000000	3.92564   	1300.000000	0.000485742	
1320.000000	3.88392   	1320.000000	3.91867   	1320.000000	4.04198   	1320.000000	3.85738   	1320.000000	3.91819   	1320.000000	0.000478949	
1340.000000	3.87695   	1340.000000	3.91164   	1340.000000	4.03348   	1340.000000	3.84905   	1340.000000	3.91117   	1340.000000	0.000472351	
1360.000000	3.87043   	1360.000000	3.90502   	1360.000000	4.02533   	1360.000000	3.84108   	1360.000000	3.90456   	1360.000000	0.00046594	
1380.000000	3.86433   	1380.000000	3.89879   	1380.000000	4.01754   	1380.000000	3.83345   	1380.000000	3.89833   	1380.000000	0.000459706	
1400.000000	3.85866   	1400.000000	3.89294   	1400.000000	4.01007   	1400.000000	3.82615   	1400.000000	3.89249   	1400.000000	0.000453643	
1420.000000	3.85338   	1420.000000	3.88745   	1420.000000	4.00293   	1420.000000	3.81916   	1420.000000	3.887     	1420.000000	0.000447744	
1440.000000	3.84849   	1440.000000	3.8823    	1440.000000	3.99609   	1440.000000	3.81247   	1440.000000	3.88186   	1440.000000	0.000442002	
1460.000000	3.84396   	1460.000000	3.87748   	1460.000000	3.98954   	1460.000000	3.80606   	1460.000000	3.87705   	1460.000000	0.00043641	
1480.000000	3.83979   	1480.000000	3.87298   	1480.000000	3.98327   	1480.000000	3.79993   	1480.000000	3.87255   	1480.000000	0.000430964	
1500.000000	3.83597   	1500.000000	3.86879   	1500.000000	3.97726   	1500.000000	3.79405   	1500.000000	3.86836   	1500.000000	0.000425657	
1520.000000	3.83247   	1520.000000	3.86489   	1520.000000	3.9715    	1520.000000	3.78842   	1520.000000	3.86446   	1520.000000	0.000420484	
